title,title_Link,answer,time,回答者,f_light,ml_10
爬山虎的脚有什么特点,http://zhidao.baidu.com/question/1988620337265492587.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎，也称“巴山虎”“地锦”“常青藤”，葡萄科植物。夏季开花，花小，黄绿色，浆果紫黑色。常攀缘在墙壁或岩石上，广见于我国各地。 爬山虎的脚触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙。细丝原先是直的，现在弯曲了，把爬山虎的嫩茎...,2018-04-16,616宋小虫,2个回答,51
爬山虎为什么有虎字,http://zhidao.baidu.com/question/1884710436113420308.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1，这个名字的由来跟壁虎也有关系吧！一个生长能力强，一个能在墙壁上蔓延。 2，因为长的好的话，很张牙舞爪,2017-11-25,水瓶自在飞翔,1个回答,47
爬山虎怎样爬墙,http://zhidao.baidu.com/question/40731524.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎怎样爬墙,2017-11-25,136128276,4个回答,371
爬山虎的脚是什么样子的(图片),http://zhidao.baidu.com/question/1924751479160721907.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎是有脚的。爬山虎的脚长在茎上。茎上长叶柄的地方，反面伸出枝状的六七根细丝，每根细丝像蜗牛的触角。细丝跟新叶子一样，也是嫩红的。这就是爬山虎的脚。 爬山虎的脚触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙。细丝原先是直的...,2018-03-30,烟火中的尘埃4,4个回答,254
爬山虎的叶子是什么颜色的,http://zhidao.baidu.com/question/147526079.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎的叶子是什么颜色的,2017-09-13,翻滚吧云盘,8个回答,219
描写爬山虎的优美句子？,http://zhidao.baidu.com/question/588009489444604445.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：描写爬山虎的优美句子？必须是原创！,2018-01-15,端木吟天,2个回答,180
描写爬山虎的作文,http://zhidao.baidu.com/question/75212613.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：两百字以上,2017-12-16,我爱NBA篮球哈,5个回答,1733
爬山虎的特点是什么,http://zhidao.baidu.com/question/1451975054498252620.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎的特点是什么,2017-09-24,红河溪,2个回答,34
爬山虎长大的叶子有哪三个特点,http://zhidao.baidu.com/question/1510791705890621260.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎长大的叶子有三个特点： 一、叶子的颜色绿得新鲜； 二、叶子的方向是一顺儿朝下； 三、叶子在墙上铺得均匀，既没有重叠，也没有空隙。 扩展资料： 爬山虎属多年生大型落叶木质藤本植物，其形态与野葡萄藤相似。藤茎可长达18米(约60英尺)。...,2018-09-25,zhouxush307,4个回答,97
描写校园爬山虎的作文300字,http://zhidao.baidu.com/question/233973605.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：快快快,2017-11-24,糖果—甜,1个回答,412
爬山虎的脚课文,http://zhidao.baidu.com/question/191900449.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的脚 叶圣陶 学校操场北边墙上满是爬山虎。我家也有爬山虎，从小院的西墙爬上去，在房顶上占了一大片地方。 爬山虎刚长出来的叶子是嫩红的，不几天叶子长大，就变成嫩绿的。爬山虎的嫩叶不大引人注意，引人注意的是长大了的叶子。那此叶子...,2017-06-12,qsmm,9个回答,2627
求一段描写爬山虎的样子,http://zhidao.baidu.com/question/377095536.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎刚长出来的叶子是嫩红的，不几天叶子长大，就变成嫩绿的。爬山虎的嫩叶不大引人注意，引人注意的是长大了的叶子。那些叶子绿得那么新鲜，看着非常舒服，叶尖一顺儿朝下，在墙上铺得那么均匀，没有重叠起来的，也不留一点儿空隙。一阵风拂...,2017-11-24,wenjier66,2个回答,368
爬山虎的特点有什么,http://zhidao.baidu.com/question/493683179757022852.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎的特点有什么,2017-09-24,syq389389,1个回答,35
为什么爬山虎会爬墙,http://zhidao.baidu.com/question/278215146.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：有吸盘的 爬山虎 又叫“常春藤”、“地锦”、“巴山虎”。多年生落叶藤本。它的茎如不攀援在别的物体上就无法向上生长。爬山虎的茎上有卷须，卷须生有许多分枝，每根分枝上的末端都有吸盘，能够附着在墙壁上、大树上或岩石上。爬山虎附着在墙壁上非常...,2017-11-24,,3个回答,697
如何栽爬山虎,http://zhidao.baidu.com/question/2266680007168360228.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬墙虎，即爬山虎，栽植成活率高，管理简单，适应能力强，你是要栽植? 首先要选择适宜爬墙虎生长的环境位置，应选择楼院墙体、护栏、枯树等能“爬”的载体! 下面的土质最好疏松肥沃、无有害垃圾，厚度应在50厘米以上。 栽植时间一般为爬墙虎未萌芽...,2017-11-26,人比黄花瘦2014,1个回答,7
爬山虎的果子图片,http://zhidao.baidu.com/question/436155290.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎（japanese creeper）又称爬墙虎、地锦、飞天蜈蚣、假葡萄藤、捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤。爬山虎，也称“巴山虎”“常青藤”，葡萄科植物。夏季开花，花小，黄绿色，浆果紫黑色。常攀缘在墙壁或岩石上，广见...,2017-10-11,杨宏水,2个回答,57
举例子种爬山虎有很多好处,如可以什么,http://zhidao.baidu.com/question/746975451269025532.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：举例子种爬山虎有很多好处,如可以什么,2017-11-21,一双笑靥,2个回答,201
种一颗爬山虎需要多少土,http://zhidao.baidu.com/question/1957713606372178180.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎适应性强，性喜阴湿环境，但不怕强光，耐寒，耐旱，耐贫瘠，气候适应性广泛， 对土壤要求不严，阴湿环境或向阳处，均能茁壮生长，但在阴湿、肥沃的土壤中生长最佳。它对二氧化硫等有害气体有较强的抗性。 爬山虎生性随和，占地少、生长快...,2019-03-02,凡空1114,2个回答,8
爬山虎春天是什么颜色?,http://zhidao.baidu.com/question/391977393290983245.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎春天是嫩绿色的。 初春 ，爬山虎伸着稚嫩的手脚悄悄地向上爬。 夏天，爬山虎长的郁郁葱葱，叶子均匀的扑满整个墙面 秋天，爬山虎的叶子在温暖的阳光爱抚下，枝叶随着秋风飘动渐渐地红了起来，变成橙黄色 冬季，只剩下枯藤了，但爬山虎仍然...,2016-08-21,风色渐老,4个回答,224
关于爬山虎的资料,http://zhidao.baidu.com/question/68643368.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：叶尖为什么朝下,2017-11-26,lomon8482,3个回答,1492
家里阳台种爬山虎好还是常青藤好？,http://zhidao.baidu.com/question/539781688.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：天津，住顶楼5楼，有个小露台，想种藤类植物，让它顺着斜屋顶爬满楼顶，...,2017-06-09,我将我种进花盆,4个回答,50
爬山虎的根很深吗？,http://zhidao.baidu.com/question/71090396.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：如题。快！,2017-11-26,幻于人间,5个回答,22
爬山虎是不是花?,http://zhidao.baidu.com/question/969126.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎 学名：Parthenocissus tricuspidata 别名：地锦、爬墙虎 科属：葡萄科、爬山虎属 分布于我国东北至华南各省区。朝鲜、日本也有。 落叶大藤本，具分枝卷须，卷须顶端有吸盘。叶变异很大，通常宽卵形，先端多3裂，基部心形，边缘有粗锯齿。...,2017-09-15,,7个回答,28
怎么形容“爬山虎”？,http://zhidao.baidu.com/question/1929430271928210067.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：形容“爬山虎”可以多用一些比喻和拟人的手法： 1、春天爬山虎是淡绿色的，它爬在墙上像给墙穿上了一件美丽的“绿花衣”。 2、每当微风轻轻滑过爬山虎时，爬山虎像被淘气的风儿掀起了绿色的衣裙，接连不断，好似一个接一个的波浪，凑成了一个绿色的...,2018-01-16,每朵花开都沧桑,2个回答,18
爬山虎最高能爬多高,http://zhidao.baidu.com/question/982125254289807419.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎能沿着墙往上爬 6.7万 59" 简笔画爬山虎 简单好学 4万 3'33" ￼ 爬山虎 [pá shān hǔ] 多种植物的别称 本词条是多义词，共5个义项 展开 ￼ 科普中国 本词条由“科普中国”百科科学词条编写与应用工作项目审核 贡献者张磊详情 爬...,2018-12-01,lkey0526,3个回答,1
爬山虎的脚和墙是什么关系,http://zhidao.baidu.com/question/2208203896035872948.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎的脚和墙是什么关系,2017-12-09,百度知道客户端,3个回答,18
爬山虎的学名是什么呀！,http://zhidao.baidu.com/question/446252462.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：我们生物作业是做标本，我做的是爬山虎，请问它的学名是什么，谁能告诉...,2016-08-29,羊儿要吃肉咩咩,4个回答,8
爬山虎简介20字,http://zhidao.baidu.com/question/1926764156834235147.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎简介20字,2017-11-21,dreamhepingd,2个回答,300
种植爬山虎的好处与坏处（不用花盆）,http://zhidao.baidu.com/question/118091115.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：我想种植爬山虎,2017-11-28,杏紫树8,3个回答,57
爬山虎的种子种植方法,http://zhidao.baidu.com/question/872776051310354412.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎可采用多种种植方式，比如扦插、压条，或者是种子种植。采用爬山虎种子种植，是一种常见的方法，管理方式也非常方便，所以，爬山虎种子种植，成为大多数人种植的方式。 爬山虎种子怎么种 将采集后的种子去掉果肉，把洗爬山虎种子净晒干，...,2018-06-29,植物网,4个回答,4
爬墙虎怎样栽培,http://zhidao.baidu.com/question/653434485839017685.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎怎么种 秒懂生活视频 29万+ 许多园艺爱好者不知道爬山虎怎么种。不要着急，今天小编来教大家。 方法/步骤 1/5 分步阅读 播种法：和一般播种没有太大区别。需要注意的是，种子在采收后需要错去果皮和果肉。 ￼ 2/5 洗干净放入湿沙中...,2019-03-11,宝宝孙策,1个回答,
爬山虎简介10字,http://zhidao.baidu.com/question/1112723616123648659.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎简介10字,2018-09-18,cn#GuBGVuGVLB,1个回答,30
爬山虎为什么叶子朝下,http://zhidao.baidu.com/question/184349476.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎可以在垂直的墙面上攀援，这样一来，叶子就会因为统一受到重力的作用而叶尖朝下。它的叶子铺得那么均匀的原因，是因为叶子有镶嵌的作用，也就是它们会尽可能地利用空隙来获取更多的阳光，不同的叶片会参差分布，保证彼此都能得到均匀的光...,2017-09-02,nlancyi,5个回答,465
爬山虎有别名吗?,http://zhidao.baidu.com/question/118374678.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：【别名】爬墙虎、地锦、飞天蜈蚣、假葡萄藤、捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤。爬山虎，也称“巴山虎”“地锦”“常青藤”，葡萄科植物。夏季开花，花小，黄绿色，浆果紫黑色。常攀缘在墙壁或岩石上，广见于我国各地。 【来...,2017-10-12,626520430,8个回答,43
种植爬山虎有什么好处?,http://zhidao.baidu.com/question/236171575.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎为葡萄科、爬山虎属落叶大藤本，又名地锦、爬墙虎、捆石龙。 爬山虎叶大稠密，春秋两季叶呈红、橙两色，并具有镶嵌性，又可大面积在墙面上攀缘生长，是极其优良的墙面绿化和建筑物美化的装饰植物，尤其适合高层建筑的垂直绿化。墙面经覆盖...,2017-09-03,小鱼儿57,2个回答,95
爬山虎的脚把描写爬山虎怎样爬墙的动词抄写下来,http://zhidao.baidu.com/question/2119399199609642947.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：《爬山虎的脚》课文片段--［人教版课标本第七册课文］ 爬山虎的脚触着墙的时候，六七根细丝的头上就变成小圆片，巴住墙。细丝原先是直的，现在弯曲了，把爬山虎的嫩茎拉一把，使它紧贴在墙上。爬山虎就是这样一脚一脚地往上爬。如果你仔细看那些...,2018-04-18,我的名字same,4个回答,16
爬山虎是怎样繁殖的？,http://zhidao.baidu.com/question/265062980.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎可采用播种法、扦插法及压条法繁殖。10月采种，可冬播，或翌年春播。移植或定植在落叶期进行。爬山虎通常用扦插繁殖，成活率达95％。扦插，从落叶后至萌芽前均可进行。事实证明，种子繁殖也是一种好办法，其出苗率可达80％，苗期管理也较...,2017-11-24,anbillolili,1个回答,43
爬山虎叶子的特点是什么?,http://zhidao.baidu.com/question/188096630.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：叶互生，小叶肥厚，基部楔形，变异很大，边缘有粗锯齿，叶片及叶脉对称。花枝上的叶宽卵形，长8～18cm，宽6～16cm，常3裂，或下部枝上的叶分裂成3小叶，基部心形。叶绿色，无毛，背面具有白粉，叶背叶脉处有柔毛，秋季变为鲜红色。幼枝上的叶较...,2017-10-09,羊儿要吃肉咩咩,4个回答,104
爬山虎是怎样生长的作文400字,http://zhidao.baidu.com/question/1178246079138191339.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：我们学校南小操场圆形门的围墙上，一到春天，就长了满满一墙的爬山虎。 远远望去，一墙绿油油的爬山虎，像绿色的绒毯挂在墙上。 走近那绿色的墙，你会看到爬山虎的叶子一片挨着一片，彼此推着挤着，刚长出来的叶子是嫩红的，不几天叶子长大，就...,2017-11-22,,2个回答,47
爬山虎落叶吗,http://zhidao.baidu.com/question/11508986.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：我家就种有这种植物，到了深秋的时候，叶子变红，然后就掉叶了，接着种子成熟，这下可好了，别看这一串串的果实不起眼，这可是 鸟儿们冬天的一部份食物喔，成天都有很多种鸟儿在我家墙上飞来飞去的，安逸的很，呵呵,2017-11-22,,2个回答,42
怎么形容爬山虎,http://zhidao.baidu.com/question/1114943565416867499.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：描写爬山虎的句子： 1 、爬山虎绿得像一汪深潭一样沉郁。 2 、 爬山虎的叶子起初是红色的， 后来就由红变绿。 爬山虎的叶子看起来就像是鸭子的脚 掌。 3 、爬山虎的叶子越长越茂盛，越长越绿，大片大片的叶子密集油亮，覆盖了整个山坡， 像给山...,2016-12-04,,1个回答,7
什么的爬山虎,http://zhidao.baidu.com/question/70831449.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：如：xxx的爬山虎、美丽的爬山虎…… 要5个,2017-11-26,MM梦中舞蝶,10个回答,125
爬山虎的脚这一篇课文主要写了什么内容,http://zhidao.baidu.com/question/1243897080781096939.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：主要讲了爬山虎的叶子，爬山虎的脚的具体形状，以及怎样用脚来爬的，表达了作者对爬山虎的喜爱之情。告诉我们只有通过仔细观察，才能写出具体生动的文章。,2017-09-22,,3个回答,34
爬山虎的脚这篇课文里的多音字有哪些,http://zhidao.baidu.com/question/1736686434923409627.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：《爬山虎的脚》一文中的多音字如下： 铺 1.铺 [pū]～开。～床。～垫。 2.铺 [pù]饭～。肉～。～面。 空 3.空 [kōng]～军。～气。～投。～运。 4.空 [kòng]～白。～地。～额。～房。～缺。 重 5.重 [zhòng]～负。～荷。～量。～色。～玻～望。 6....,2018-04-16,鹿鹿Daisy,2个回答,54
课文《爬山虎的脚》中爬山虎的脚有哪些特点,http://zhidao.baidu.com/question/1048473716468316419.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：课文《爬山虎的脚》中爬山虎的脚：巴住墙，变成弯曲的，拉紧爬山虎的嫩茎贴在墙上， 爬山虎就往上爬了。 《爬山虎的脚》课文 学校操场北边墙上满是爬山虎。我家也有爬山虎，从小院的西墙爬上去，在房顶上占了一大片地方。爬山虎刚长出来的叶子是...,2018-04-11,apple哲皓,3个回答,13
赞美“爬山虎”的句子有哪些？,http://zhidao.baidu.com/question/2057814455427596627.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1、七律·咏爬墙虎（新韵） 纤纤小手紧抓墙，映月辉星独自狂。 一夏攀登迎烈日，三秋环绕傲寒霜。 风姿不逊春花美，神韵犹如枫叶香。 藤蔓干枯情未了，红红笑脸唱辉煌。 2、再贫瘠的土地、只要有我、会让绿色充满你的心间、给我一滴水、立刻让你...,2017-12-03,F4jb78,1个回答,6
爬山虎为何要爬上墙壁,http://zhidao.baidu.com/question/52552111.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：其实爬山虎无论是是岩石、墙壁或是树木，均能吸附。因为它的卷须尖端有粘性吸盘，遇到物体便吸附在上面。,2017-11-25,谁不是路人甲,10个回答,101
作者先介绍爬山虎的时候，先讲爬山虎脚的什么和什么,http://zhidao.baidu.com/question/1990185705228792307.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：《爬山虎的脚》一文,作者先介绍爬山虎的（叶子 ）,再介绍爬山虎的（ 脚）最后介绍爬山虎的（ 爬墙方法 ）,2017-12-16,sunny桉蓝,2个回答,44
爬山虎是植物还是动物,http://zhidao.baidu.com/question/1670912717204266867.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎是藤本植物。 爬山虎（boston ivy）又称捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤、巴山虎，葡萄科植物。夏季开花，花小，黄绿色，浆果紫黑色。常见攀缘在墙壁岩石上。,2017-12-15,ZHJIHON,3个回答,53
